Профиль №1  с 01.01.2022 по 31.01.2022
Счетчик № 0816190453
Сохранен 06.02.2022 7:53:08

Дата	Время	A+, кВт	A-, кВт	R+, квар	R-, квар	Статус
01.01.2022	00:00-01:00	000,0454	000,0000	000,0266	000,0000	
01.01.2022	01:00-02:00	000,0447	000,0000	000,0232	000,0000	
01.01.2022	02:00-03:00	000,0346	000,0000	000,0214	000,0000	
01.01.2022	03:00-04:00	000,0404	000,0000	000,0224	000,0000	
01.01.2022	04:00-05:00	000,0414	000,0000	000,0241	000,0000	
01.01.2022	05:00-06:00	000,0344	000,0000	000,0224	000,0000	
01.01.2022	06:00-07:00	000,0406	000,0000	000,0220	000,0000	
01.01.2022	07:00-08:00	000,0406	000,0000	000,0223	000,0000	
01.01.2022	08:00-09:00	000,0400	000,0000	000,0221	000,0000	
01.01.2022	09:00-10:00	000,0431	000,0000	000,0251	000,0000	
01.01.2022	10:00-11:00	000,0390	000,0000	000,0227	000,0000	
01.01.2022	11:00-12:00	000,0368	000,0000	000,0227	000,0000	
01.01.2022	12:00-13:00	000,0444	000,0000	000,0251	000,0000	
01.01.2022	13:00-14:00	000,0437	000,0000	000,0245	000,0000	
01.01.2022	14:00-15:00	000,0433	000,0000	000,0253	000,0000	
01.01.2022	15:00-16:00	000,0426	000,0000	000,0243	000,0000	
01.01.2022	16:00-17:00	000,0438	000,0000	000,0258	000,0000	
01.01.2022	17:00-18:00	000,0459	000,0000	000,0264	000,0000	
01.01.2022	18:00-19:00	000,0345	000,0000	000,0211	000,0000	
01.01.2022	19:00-20:00	000,0446	000,0000	000,0255	000,0000	
01.01.2022	20:00-21:00	000,0439	000,0000	000,0247	000,0000	
01.01.2022	21:00-22:00	000,0440	000,0000	000,0254	000,0000	
01.01.2022	22:00-23:00	000,0459	000,0000	000,0268	000,0000	
01.01.2022	23:00-24:00	000,0356	000,0000	000,0213	000,0000	
02.01.2022	00:00-01:00	000,0370	000,0000	000,0231	000,0000	
02.01.2022	01:00-02:00	000,0380	000,0000	000,0223	000,0000	
02.01.2022	02:00-03:00	000,0371	000,0000	000,0228	000,0000	
02.01.2022	03:00-04:00	000,0340	000,0000	000,0215	000,0000	
02.01.2022	04:00-05:00	000,0673	000,0000	000,0339	000,0000	
02.01.2022	05:00-06:00	000,0713	000,0000	000,0375	000,0000	
02.01.2022	06:00-07:00	000,0687	000,0000	000,0348	000,0000	
02.01.2022	07:00-08:00	000,0582	000,0000	000,0321	000,0000	
02.01.2022	08:00-09:00	000,0681	000,0000	000,0379	000,0000	
02.01.2022	09:00-10:00	000,0796	000,0000	000,0413	000,0000	
02.01.2022	10:00-11:00	000,0850	000,0000	000,0448	000,0000	
02.01.2022	11:00-12:00	000,0821	000,0000	000,0436	000,0000	
02.01.2022	12:00-13:00	000,0829	000,0000	000,0410	000,0000	
02.01.2022	13:00-14:00	000,0840	000,0000	000,0417	000,0000	
02.01.2022	14:00-15:00	000,0825	000,0000	000,0453	000,0000	
02.01.2022	15:00-16:00	000,0865	000,0000	000,0458	000,0000	
02.01.2022	16:00-17:00	000,1018	000,0000	000,0498	000,0000	
02.01.2022	17:00-18:00	000,1159	000,0000	000,0546	000,0000	
02.01.2022	18:00-19:00	000,0629	000,0000	000,0365	000,0000	
02.01.2022	19:00-20:00	000,0918	000,0000	000,0442	000,0000	
02.01.2022	20:00-21:00	000,1085	000,0000	000,0508	000,0000	
02.01.2022	21:00-22:00	000,0916	000,0000	000,0468	000,0000	
02.01.2022	22:00-23:00	000,0947	000,0000	000,0467	000,0000	
02.01.2022	23:00-24:00	000,0848	000,0000	000,0442	000,0000	
03.01.2022	00:00-01:00	000,0853	000,0000	000,0438	000,0000	
03.01.2022	01:00-02:00	000,1043	000,0000	000,0495	000,0000	
03.01.2022	02:00-03:00	000,1028	000,0000	000,0490	000,0000	
03.01.2022	03:00-04:00	000,0975	000,0000	000,0495	000,0000	
03.01.2022	04:00-05:00	000,0926	000,0000	000,0483	000,0000	
03.01.2022	05:00-06:00	000,0884	000,0000	000,0447	000,0000	
03.01.2022	06:00-07:00	000,0903	000,0000	000,0481	000,0000	
03.01.2022	07:00-08:00	000,0988	000,0000	000,0495	000,0000	
03.01.2022	08:00-09:00	000,1067	000,0000	000,0527	000,0000	
03.01.2022	09:00-10:00	000,1192	000,0000	000,0582	000,0000	
03.01.2022	10:00-11:00	000,1060	000,0000	000,0507	000,0000	
03.01.2022	11:00-12:00	000,1138	000,0000	000,0532	000,0000	
03.01.2022	12:00-13:00	000,1226	000,0000	000,0558	000,0000	
03.01.2022	13:00-14:00	000,1178	000,0000	000,0529	000,0000	
03.01.2022	14:00-15:00	000,1256	000,0000	000,0555	000,0000	
03.01.2022	15:00-16:00	000,1238	000,0000	000,0572	000,0000	
03.01.2022	16:00-17:00	000,1129	000,0000	000,0540	000,0000	
03.01.2022	17:00-18:00	000,1372	000,0000	000,0611	000,0000	
03.01.2022	18:00-19:00	000,1107	000,0000	000,0508	000,0000	
03.01.2022	19:00-20:00	000,1081	000,0000	000,0489	000,0000	
03.01.2022	20:00-21:00	000,1161	000,0000	000,0515	000,0000	
03.01.2022	21:00-22:00	000,1152	000,0000	000,0524	000,0000	
03.01.2022	22:00-23:00	000,1079	000,0000	000,0483	000,0000	
03.01.2022	23:00-24:00	000,1191	000,0000	000,0539	000,0000	
04.01.2022	00:00-01:00	000,0973	000,0000	000,0476	000,0000	
04.01.2022	01:00-02:00	000,0785	000,0000	000,0395	000,0000	
04.01.2022	02:00-03:00	000,0831	000,0000	000,0424	000,0000	
04.01.2022	03:00-04:00	000,0861	000,0000	000,0450	000,0000	
04.01.2022	04:00-05:00	000,0836	000,0000	000,0438	000,0000	
04.01.2022	05:00-06:00	000,0835	000,0000	000,0444	000,0000	
04.01.2022	06:00-07:00	000,1041	000,0000	000,0504	000,0000	
04.01.2022	07:00-08:00	000,1183	000,0000	000,0540	000,0000	
04.01.2022	08:00-09:00	000,1012	000,0000	000,0477	000,0000	
04.01.2022	09:00-10:00	000,0932	000,0000	000,0456	000,0000	
04.01.2022	10:00-11:00	000,0853	000,0000	000,0468	000,0000	
04.01.2022	11:00-12:00	000,0855	000,0000	000,0477	000,0000	
04.01.2022	12:00-13:00	000,0852	000,0000	000,0463	000,0000	
04.01.2022	13:00-14:00	000,0836	000,0000	000,0446	000,0000	
